(2021-08-14 15:39:33 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable"
(2021-08-14 15:48:42 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "insert into GunManager.dbo.BoxPackedDetailsTable values (1,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(2,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(3,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(4,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(5,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(6,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(7,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(8,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(9,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(10,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(11,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(12,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(13,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(14,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(15,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(16,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(17,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(18,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(19,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(20,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(21,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(22,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(23,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(24,'1111','2222','手枪','','','未出库' ,'1900-1-1'),(25,'1111','2222','手枪','','','未出库','1900-1-1')"
(2021-08-14 15:48:46 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'"
(2021-08-14 15:49:30 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2020-1-1'and 装备时间 = '2021-12-31'"
(2021-08-14 15:49:45 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2019-1-1'and 装备时间 = '2021-12-31'"
(2021-08-14 15:49:46 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2019-1-1'and 装备时间 = '2021-12-31'"
(2021-08-14 15:49:58 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2019-1-1'and 装备时间 = '2021-12-31'"
(2021-08-14 15:49:59 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2019-1-1'and 装备时间 = '2021-12-31'"
(2021-08-14 15:50:46 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'and 出厂时间 = '2020-1-2'and 装备时间 = '2021-4-14'"
(2021-08-14 15:51:01 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '1111'"
(2021-08-14 15:51:40 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 15:51:53 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '1111'"
(2021-08-14 15:54:27 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 15:58:28 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '1111'"
(2021-08-14 15:59:25 周六)          Critical: File:() Line:(0) No text-to-speech plug-ins were found.
(2021-08-14 16:01:05 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 16:01:23 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-08-14 16:03:20 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '1111'"
(2021-08-14 16:05:43 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = '123' and 调拨凭证号 = '4242' and 装备代码 = '25434'"
(2021-08-14 16:05:43 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "insert GunManager.dbo.SinglePackedTable values('123','4242','25434','5452','','地方','地方','1900-1-1','1900-1-1','未出库','1900-1-1')"
(2021-08-14 16:05:48 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-08-14 16:08:21 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '1223QQQ'"
(2021-08-14 16:08:29 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 16:09:28 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 16:09:32 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%'"
(2021-08-14 16:09:32 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%'"
(2021-08-14 16:13:20 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%手枪%'"
(2021-08-14 16:13:20 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%手枪%'"
(2021-08-14 16:13:28 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%'"
(2021-08-14 16:13:28 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%'"
(2021-08-14 16:13:33 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%1111%' and t1.装备代码 like '%%' and t1.装备名称 like '%%'"
(2021-08-14 16:13:33 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%'"
(2021-08-14 16:13:34 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%1111%' and t1.装备代码 like '%%' and t1.装备名称 like '%%'"
(2021-08-14 16:13:34 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%'"
(2021-08-14 16:14:07 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%1111%' and t1.装备代码 like '%%' and t1.装备名称 like '%手枪%'"
(2021-08-14 16:14:07 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%手枪%'"
(2021-08-14 16:14:20 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\systemmanager.cpp) Line:(985) Export excel: C:/Users/HSY-PC/Desktop/1111.xls
(2021-08-14 16:14:39 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%1111%' and t1.装备代码 like '%%' and t1.装备名称 like '%手枪%'"
(2021-08-14 16:14:39 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%手枪%'"
(2021-08-14 16:14:40 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%1111%' and t1.装备代码 like '%%' and t1.装备名称 like '%手枪%'"
(2021-08-14 16:14:40 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%手枪%'"
(2021-08-14 16:14:50 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
(2021-08-14 16:14:50 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,'-' as 箱装数量,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 != '' and 出库状态 = '未出库'"
(2021-08-14 16:14:52 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
(2021-08-14 16:14:52 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,'-' as 箱装数量,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 != '' and 出库状态 = '未出库'"
(2021-08-14 16:14:52 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
(2021-08-14 16:14:52 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,'-' as 箱装数量,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 != '' and 出库状态 = '未出库'"
(2021-08-14 16:14:58 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
(2021-08-14 16:14:58 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,'-' as 箱装数量,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 != '' and 出库状态 = '未出库'"
(2021-08-14 16:15:00 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
